ID,COUNTRY,ISO-CODE
1,AFGHANISTAN,AFG
3,ÅLAND ISLANDS,ALA
4,ALBANIA,ALB
5,ALGERIA,DZA
6,AMERICAN SAMOA,ASM
7,ANDORRA,AND
8,ANGOLA,AGO
9,ANGUILLA,AIA
10,ANTARCTICA,ATA
11,ANTIGUA AND BARBUDA,ATG
12,ARGENTINA,ARG
13,ARMENIA,ARM
14,ARUBA,ABW
16,AUSTRALIA,AUS
17,AUSTRIA,AUT
18,AZERBAIJAN,AZE
19,BAHAMAS,BHS
20,BAHRAIN,BHR
21,BANGLADESH,BGD
22,BARBADOS,BRB
23,BELARUS,BLR
24,BELGIUM,BEL
25,BELIZE,BLZ
26,BENIN,BEN
27,BERMUDA,BMU
28,BHUTAN,BTN
29,BOLIVIA (PLURINATIONAL STATE OF),BOL
30,BONAIRE SINT EUSTATIUS SABA,BES
31,BOSNIA AND HERZEGOVINA,BIH
32,BOTSWANA,BWA
33,BOUVET ISLAND,BVT
34,BRAZIL,BRA
35,BRITISH INDIAN OCEAN TERRITORY,IOT
37,BRUNEI DARUSSALAM,BRN
38,BULGARIA,BGR
39,BURKINA FASO,BFA
41,BURUNDI,BDI
42,CABO VERDE,CPV
43,CAMBODIA,KHM
44,CAMEROON,CMR
45,CANADA,CAN
48,CAYMAN ISLANDS,CYM
49,CENTRAL AFRICAN REPUBLIC,CAF
50,CHAD,TCD
51,CHILE,CHL
52,CHINA,CHN
54,CHRISTMAS ISLAND,CXR
56,COCOS (KEELING) ISLANDS,CCK
57,COLOMBIA,COL
58,COMOROS,COM
59,CONGO (THE DEMOCRATIC REPUBLIC OF THE),COD
60,CONGO,COG
61,COOK ISLANDS,COK
63,COSTA RICA,CRI
64,CÔTE D'IVOIRE,CIV
65,CROATIA,HRV
66,CUBA,CUB
67,CURAÇAO,CUW
68,CYPRUS,CYP
69,CZECHIA,CZE
72,DENMARK,DNK
73,DJIBOUTI,DJI
74,DOMINICA,DMA
75,DOMINICAN REPUBLIC,DOM
77,ECUADOR,ECU
78,EGYPT,EGY
79,EL SALVADOR,SLV
81,EQUATORIAL GUINEA,GNQ
82,ERITREA,ERI
83,ESTONIA,EST
84,ESWATINI,SWZ
85,ETHIOPIA,ETH
86,FALKLAND ISLANDS [MALVINAS],FLK
87,FAROE ISLANDS,FRO
88,FIJI,FJI
89,FINLAND,FIN
90,FRANCE,FRA
91,FRENCH GUIANA,GUF
92,FRENCH POLYNESIA,PYF
93,FRENCH SOUTHERN TERRITORIES,ATF
94,GABON,GAB
95,GAMBIA,GMB
96,GEORGIA,GEO
97,GERMANY,DEU
98,GHANA,GHA
99,GIBRALTAR,GIB
101,GREECE,GRC
102,GREENLAND,GRL
103,GRENADA,GRD
104,GUADELOUPE,GLP
105,GUAM,GUM
106,GUATEMALA,GTM
107,GUERNSEY,GGY
108,GUINEA,GIN
109,GUINEA-BISSAU,GNB
110,GUYANA,GUY
111,HAITI,HTI
113,HEARD ISLAND AND MCDONALD ISLANDS,HMD
114,HOLY SEE,VAT
