ID,Method/Property,Description,cratedCategories
1,sort(),Sorts elements alphabetically,ARRAY
2,splice(),Adds elements in a specified way and position,ARRAY
3,toString(),Converts elements to strings,ARRAY
4,unshift(),Adds a new element to the beginning,ARRAY
5,valueOf(),Returns the first position at which a given elementappears in an array,ARRAY
7,Basic Operators,Returns the first position at which a given elementappears in an array,OPERATORS
8,+,Addition,OPERATORS
9,-,Subtraction,OPERATORS
10,*,Multiplication,OPERATORS
11,/,Division,OPERATORS
12,(...),"Grouping operator, operations within brackets are executedearlier than those outside",OPERATORS
13,%,Modulus (remainder ),OPERATORS
14,++,Increment numbers,OPERATORS
15,--,Decrement numbers,OPERATORS
16,Comparison Operators,Decrement numbers,OPERATORS
17,==,Equal to,OPERATORS
18,===,Equal value and equal type,OPERATORS
19,!=,Not equal,OPERATORS
20,!==,Not equal value or not equal type,OPERATORS
21,>,Greater than,OPERATORS
22,<,Less than,OPERATORS
23,>=,Greater than or equal to,OPERATORS
24,THE NEXT LEVEL: ARRAYS,Greater than or equal to,ARRAY
25,"var fruit = [Banana, Apple, Pear];",Greater than or equal to,ARRAY
26,Array Methods,Greater than or equal to,ARRAY
27,concat(),Join several arrays into one,ARRAY
28,indexOf(),Returns the primitive value of the specified object,ARRAY
29,join(),Combine elements of an array into a single string and returnthe string,ARRAY
30,lastIndexOf(),Gives the last position at which a given elementappears in an array,ARRAY
31,pop(),Removes the last element of an array,ARRAY
32,push(),Add a new element at the end,ARRAY
33,reverse(),Sort elements in descending order,ARRAY
34,shift(),Remove the first element of an array,ARRAY
35,slice(),Pulls a copy of a portion of an array into a new array,ARRAY
37,var person = John Doe;,Pulls a copy of a portion of an array into a new array,STRINGS
38,Escape Characters,Pulls a copy of a portion of an array into a new array,STRINGS
39,\',Single quote,STRINGS
40,\ — Double quote,Single quote,STRINGS
41,\\,Backslash,STRINGS
42,\b,Backspace,STRINGS
43,\f,Form feed,STRINGS
44,\n,New line,STRINGS
45,\r,Carriage return,STRINGS
46,\t,Horizontal tabulator,STRINGS
47,\v,Vertical tabulator,STRINGS
48,String Methods,Vertical tabulator,STRINGS
49,charAt(),Returns a character at a specified position inside a,STRINGS
50,string,Returns a character at a specified position inside a,STRINGS
51,charCodeAt(),Gives you the unicode of character at that position,STRINGS
52,concat(),Concatenates (joins) two or more strings into one,STRINGS
53,fromCharCode(),Returns a string created from the specified sequence,STRINGS
54,of UTF-16 code units,Returns a string created from the specified sequence,STRINGS
